label,timestamp,duration,pkg,dram,socket
foo,1695945565.3069007,100208.245,1177365.0,90820.0,0
foo,1695945565.4082203,100280.895,606688.0,73120.0,0
foo,1695945565.5092392,100400.413,600951.0,82214.0,0
foo,1695945565.6104565,100240.946,528197.0,64941.0,0
foo,1695945565.7116964,100405.798,561339.0,76233.0,0
foo,1695945565.812985,100224.407,646422.0,83557.0,0
foo,1695945565.9141846,100205.664,568114.0,70557.0,0
foo,1695945566.0151086,100212.322,549560.0,76172.0,0
foo,1695945566.1163714,100403.843,549376.0,70496.0,0
foo,1695945566.2178826,100214.897,521606.0,63842.0,0
foo,1695945566.3188772,100210.005,865049.0,76050.0,0
foo,1695945566.4201717,100163.121,555723.0,68054.0,0
foo,1695945566.5207713,100240.713,595031.0,70801.0,0
foo,1695945566.6218889,100337.602,553099.0,72143.0,0
foo,1695945566.7231538,100165.349,524535.0,64392.0,0
foo,1695945566.824277,100170.266,824217.0,91369.0,0
foo,1695945566.9254496,100218.788,583372.0,78674.0,0
foo,1695945567.0265749,100255.766,545958.0,70434.0,0
foo,1695945567.1278672,100404.053,516234.0,64331.0,0
foo,1695945567.229304,100208.459,508849.0,64392.0,0
foo,1695945567.3302479,100202.389,1201535.0,86303.0,0
foo,1695945567.431008,100236.837,528319.0,64147.0,0
foo,1695945567.5319831,100213.059,540587.0,67321.0,0
foo,1695945567.6332254,100407.853,564818.0,77454.0,0
foo,1695945567.7345974,100205.535,550657.0,64758.0,0
foo,1695945567.8351073,100204.78,722594.0,86608.0,0
foo,1695945567.9363422,100412.525,557554.0,67688.0,0
foo,1695945568.0374324,100334.898,517150.0,64270.0,0
foo,1695945568.1388178,100235.899,515257.0,63171.0,0
foo,1695945568.2393985,100207.872,601683.0,81482.0,0
foo,1695945568.3399456,100459.096,1436947.0,88378.0,0
foo,1695945568.440508,100195.349,616332.0,66528.0,0
foo,1695945568.5410445,100212.773,584715.0,79407.0,0
foo,1695945568.6416063,100434.412,541320.0,65796.0,0
foo,1695945568.742147,100118.964,727293.0,65124.0,0
foo,1695945568.8423626,100082.096,658567.0,80505.0,0
foo,1695945568.9428506,100168.902,531981.0,64453.0,0
foo,1695945569.0434678,100402.328,577940.0,80200.0,0
foo,1695945569.1442323,100207.762,521300.0,64269.0,0
foo,1695945569.2447867,100167.714,709654.0,65185.0,0
foo,1695945569.3450537,100390.33,676451.0,83252.0,0
foo,1695945569.4457932,100230.797,658140.0,86975.0,0
foo,1695945569.5463955,100311.312,570494.0,64758.0,0
foo,1695945569.647082,100222.112,512694.0,64209.0,0
foo,1695945569.7476733,100122.79,912229.0,66284.0,0
foo,1695945569.8478873,100202.153,933042.0,79895.0,0
foo,1695945569.9484289,100204.229,776609.0,69214.0,0
foo,1695945570.048986,100291.542,585387.0,81970.0,0
foo,1695945570.149625,100393.298,531859.0,65185.0,0
foo,1695945570.250403,100237.628,561339.0,65796.0,0
foo,1695945570.3509762,100212.167,1017026.0,86425.0,0
foo,1695945570.4513144,100204.943,623594.0,73487.0,0
foo,1695945570.5516486,100305.4,584288.0,75745.0,0
foo,1695945570.6522977,100323.86,508910.0,63903.0,0
foo,1695945570.7529707,100418.738,723021.0,64453.0,0
foo,1695945570.8534963,100209.581,580809.0,78247.0,0
foo,1695945570.9540482,100204.887,554442.0,67932.0,0
foo,1695945571.0546234,100238.51,581297.0,80200.0,0
foo,1695945571.1552002,100235.271,510253.0,63599.0,0
foo,1695945571.255779,100162.868,718260.0,64942.0,0
foo,1695945571.3560672,100255.153,774778.0,80444.0,0
foo,1695945571.4573243,100327.572,576292.0,80383.0,0
foo,1695945571.5586884,100331.332,534606.0,65551.0,0
foo,1695945571.6599529,100408.313,514953.0,64575.0,0
foo,1695945571.7613795,100412.526,555113.0,64819.0,0
foo,1695945571.8626149,100238.301,714048.0,80261.0,0
foo,1695945571.9638934,100234.299,536010.0,63538.0,0
foo,1695945572.0651329,100216.066,521056.0,67078.0,0
foo,1695945572.166287,100160.396,549254.0,77270.0,0
foo,1695945572.2674367,100391.743,772947.0,65247.0,0
foo,1695945572.3683376,100399.386,1718624.0,91369.0,0
foo,1695945572.46921,100198.79,538085.0,65063.0,0
foo,1695945572.5703197,100224.224,583311.0,80994.0,0
foo,1695945572.6715388,100399.157,543273.0,64758.0,0
foo,1695945572.7724192,100130.339,747923.0,65368.0,0
foo,1695945572.8728828,100316.965,575621.0,79956.0,0
foo,1695945572.9742148,100215.05,536925.0,64514.0,0
foo,1695945573.0754378,100217.692,567321.0,80200.0,0
foo,1695945573.1766567,100406.0,522032.0,63537.0,0
foo,1695945573.2781036,100118.281,735777.0,65979.0,0
foo,1695945573.3787951,100238.77,632444.0,87402.0,0
foo,1695945573.480021,100171.269,522520.0,64575.0,0
foo,1695945573.581209,100212.397,531554.0,68420.0,0
foo,1695945573.6822722,100209.844,562255.0,77270.0,0
foo,1695945573.7835157,100213.102,720884.0,65491.0,0
foo,1695945573.8855598,100199.643,599181.0,81665.0,0
foo,1695945573.9864213,100207.261,529540.0,64819.0,0
foo,1695945574.0875628,100169.991,566221.0,78003.0,0
foo,1695945574.1887534,100172.711,539123.0,66101.0,0
foo,1695945574.2897487,100399.743,835996.0,68665.0,0
foo,1695945574.3906255,100229.746,629271.0,80932.0,0
foo,1695945574.4918993,100383.022,575560.0,64941.0,0
foo,1695945574.593037,100416.224,508666.0,64392.0,0
foo,1695945574.6943662,100155.849,528197.0,66101.0,0
foo,1695945574.7955325,100387.395,812681.0,80749.0,0
foo,1695945574.8968322,100205.992,602233.0,80384.0,0
foo,1695945574.998022,100413.574,533018.0,65368.0,0
foo,1695945575.0995028,100402.786,511839.0,64514.0,0
foo,1695945575.2009091,100217.637,567687.0,76660.0,0
foo,1695945575.302056,100221.675,577452.0,68360.0,0
